,Nr camere,Suprafata utila,Suprafata utila totala,Suprafata construita,Compartimentare,Confort,Etaj,Nr. bucatarii,Nr. bai,An constructie,Structura rezistenta,Tip imobil,Regim inaltime,Nr. garaje,Nr. locuri parcare,Nr. balcoane,Pret
2456,1,33,NaN,33,semidecomand,1,Etaj 5 / 9,NaN,1,1979,NaN,bloc de apartamente,P+9E,NaN,NaN,NaN,49.900
2457,2,47,58,60,semidecomand,1,Etaj 2 / 7,1,1,1963,caramida,bloc de apartamente,P+7E,NaN,NaN,1 (închise),75.000
2458,2,"48,04 ",NaN,"54,3 ",decomand,1,Etaj 1 / 7,1,1,2020 (in constructie),beton,bloc de apartamente,P+7E,NaN,NaN,1,51.490
2459,3,83,NaN,97,decomand,lux,Etaj 1 / 4,1,2,2021 (in constructie),beton,bloc de apartamente,P+4E,NaN,1,1,198.000
2460,2,66,NaN,80,decomand,1,Etaj 3 / 5,1,1,2020 (in constructie),beton,bloc de apartamente,P+5E,NaN,1,1,52.000
2461,3,69,NaN,70,decomand,1,Parter / 5,NaN,2,2018,beton,bloc de apartamente,P+5E,NaN,NaN,1,105.000
2462,4,134,134,155,decomand,1,Etaj 4 / 12,1,3,2020 (in constructie),beton,bloc de apartamente,S+P+12E,NaN,NaN,1,394.000
2463,2,54,54,60,semidecomand,lux,Parter / 4,1,1,1987,beton,bloc de apartamente,P+4E,NaN,1,1,118.000
2464,3,93,NaN,NaN,decomand,lux,Etaj 2 / 3,NaN,3,2020 (finalizata),NaN,bloc de apartamente,P+3E,NaN,NaN,NaN,287.000
2465,2,64,64,73,semidecomand,1,Etaj 3 / 4,1,1,2020 (in constructie),beton,bloc de apartamente,P+4E,NaN,NaN,1,78.900
2466,3,68,NaN,70,semidecomand,1,Etaj 7 / 8,1,1,1960,beton,bloc de apartamente,P+8E,NaN,NaN,2,67.000
2467,2,57,57,69,decomand,1,Etaj 5 / 5,1,1,2020 (finalizata),beton,bloc de apartamente,P+5E,NaN,NaN,1,55.000
2468,3,"86,54 ",NaN,"116,95 ",semidecomand,1,Etaj 2 / 4,NaN,2,2014,NaN,bloc de apartamente,P+4E,NaN,NaN,NaN,144.900
2469,2,38,NaN,NaN,NaN,1,Etaj 2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.500
2470,3,116,139.26,"139,26 ",decomand,1,Etaj 3 / 7,1,3,2020 (finalizata),beton,bloc de apartamente,S+P+7E,NaN,1,2,281.500
2471,3,80,NaN,"95,53 ",semidecomand,1,Etaj 3 / 5,1,2,2019,beton,bloc de apartamente,P+5E,NaN,1,NaN,87.000
2472,3,80,NaN,96,decomand,1,Etaj 9 / 12,1,2,2020 (in constructie),NaN,bloc de apartamente,P+12E,NaN,NaN,1,90.000
2473,3,105,NaN,105,decomand,1,Etaj 2 / 3,1,2,2009,beton,bloc de apartamente,P+3E,NaN,2,3,96.000
2474,3,"69,65 ",NaN,82,decomand,1,Etaj 5 / 6,1,2,2020 (in constructie),beton,bloc de apartamente,P+6E,NaN,1,1,73.500
2475,3,66,NaN,66,decomand,1,Parter / 10,NaN,2,1982,beton,bloc de apartamente,P+10E,NaN,NaN,NaN,107.000
2476,2,"65,5 ",65.5,80,decomand,1,Etaj 2 / 5,1,1,2020 (finalizata),beton,bloc de apartamente,P+5E,NaN,NaN,1,57.500
2477,2,104,NaN,131,decomand,lux,Parter / 5,1,1,2020 (finalizata),beton,bloc de apartamente,P+5E,NaN,NaN,NaN,96.000
2478,3,100,NaN,NaN,decomand,lux,Etaj 1,NaN,2,2015,NaN,bloc de apartamente,NaN,NaN,NaN,NaN,259.900
2479,2,"57,67 ",57.67,"64,26 ",decomand,lux,Etaj 4 / 7,1,1,2021 (in constructie),NaN,bloc de apartamente,P+7E,NaN,NaN,1,89.303
2480,1,18,NaN,21,semidecomand,2,Etaj 4 / 4,1,1,1970,caramida,bloc de apartamente,P+4E,NaN,NaN,NaN,32.500
2481,4,220,256,NaN,decomand,lux,Etaj 14 / 16,1,3,2009,beton,bloc de apartamente,S+D+P+16E,NaN,NaN,3,600.000
2482,3,94,NaN,97,decomand,lux,Etaj 1 / 4,1,2,2020,beton,bloc de apartamente,D+P+4E,NaN,NaN,2,87.000
2483,3,97,119,119,decomand,1,Etaj 6 / 16,1,2,2009,beton,bloc de apartamente,S+P+16E,NaN,NaN,2,170.000
2484,4,141,NaN,156,decomand,lux,Etaj 10 / 13,1,3,2017,beton,bloc de apartamente,S+P+13E,NaN,2,1,800.000
2485,4,265,NaN,635,decomand,lux,Etaj 8 / 8,2,3,2018,beton,bloc de apartamente,P+8E,NaN,NaN,1,676.620
2486,2,38,43,50,semidecomand,lux,Etaj 3 / 10,1,1,2020 (finalizata),beton,bloc de apartamente,S+P+10E,NaN,NaN,1,98.000
2487,2,64,NaN,NaN,decomand,1,Parter / 3,NaN,NaN,Între 1990 şi 2000,NaN,bloc de apartamente,P+3E,NaN,NaN,NaN,132.000
2488,3,75,NaN,90,decomand,lux,Etaj 4 / 9,1,2,2021 (in constructie),beton,bloc de apartamente,P+9E,NaN,NaN,1,118.000
2489,4,114,NaN,193,semidecomand,lux,Etaj 5 / 5,NaN,3,2019,beton,bloc de apartamente,S+P+5E,NaN,NaN,2,234.000
2490,3,"66,7 ",79.8,"96,11 ",semidecomand,1,Etaj 1,1,2,2021 (in constructie),beton,bloc de apartamente,NaN,NaN,NaN,2,92.000
2491,2,107,111,135,decomand,lux,Etaj 5 / 6,1,2,2010,beton,bloc de apartamente,P+6E,2,NaN,1,210.000
2492,1,28,NaN,30,decomand,1,Etaj 4 / 6,1,1,2015,beton,bloc de apartamente,P+6E,NaN,NaN,1,42.900
2493,2,55,NaN,60,semidecomand,1,Etaj 4 / 10,1,1,1986,altele,bloc de apartamente,P+10E,1,NaN,1,84.500
2494,4,94,NaN,103,decomand,1,Etaj 10 / 11,1,2,1981,beton,bloc de apartamente,P+11E,NaN,NaN,2,147.990
2495,3,71,NaN,81,decomand,1,Etaj 3 / 4,1,2,1984,caramida,bloc de apartamente,P+4E,NaN,NaN,2,90.000
2496,4,101,NaN,134,semidecomand,lux,Etaj 5 / 10,1,2,2020 (finalizata),beton,bloc de apartamente,P+10E,NaN,NaN,NaN,230.000
2497,2,48,NaN,58,decomand,1,Etaj 2 / 7,1,1,2021 (in constructie),altele,bloc de apartamente,P+7E,NaN,NaN,1,51.490
2498,3,NaN,NaN,NaN,decomand,lux,Parter / 5,NaN,2,2019,NaN,bloc de apartamente,P+5E,NaN,NaN,NaN,99.900
2499,3,89,NaN,89,decomand,1,Etaj 5 / 16,1,2,2010,altele,bloc de apartamente,P+16E,NaN,NaN,1,110.000
2500,2,58,62,65,decomand,1,Parter / 8,1,1,1980,beton,bloc de apartamente,P+8E,NaN,NaN,2 (închise),73.900
2501,2,65,65,68,decomand,lux,Parter,1,1,2018,beton,bloc de apartamente,S+D+P,NaN,NaN,2,66.000
2502,4,120,NaN,170,semidecomand,lux,Etaj 6 / 10,1,2,2007,NaN,bloc de apartamente,P+10E,2,2,2,309.000
2503,3,64,NaN,74,semidecomand,1,Etaj 5 / 9,NaN,2,2014,NaN,bloc de apartamente,P+9E,NaN,NaN,NaN,165.000
2504,2,70,NaN,80,decomand,1,Etaj 5 / 24,1,1,2008,altele,bloc de apartamente,P+24E,NaN,2,1,86.000
2505,1,38,38,42,decomand,1,Etaj 1 / 12,1,1,1978,beton,bloc de apartamente,S+P+12E,NaN,NaN,1 (închise),48.000
2506,3,62,62,75,decomand,1,Parter / 4,1,1,2020 (in constructie),beton,bloc de apartamente,S+D+P+4E+M,NaN,NaN,NaN,85.000
2507,3,84,NaN,90,semidecomand,1,Etaj 2 / 4,1,2,2020 (finalizata),beton,bloc de apartamente,P+4E,NaN,1,1,71.500
2508,3,"78,15 ",NaN,"88,2 ",semidecomand,1,Etaj 11 / 11,1,2,2021 (in constructie),beton,bloc de apartamente,P+11E,NaN,NaN,1,103.000
2509,2,50,NaN,62,semidecomand,1,Etaj 2 / 9,NaN,1,2020,NaN,bloc de apartamente,P+9E,NaN,NaN,1,104.999
2510,2,"52,29 ",52.29,63,decomand,lux,Etaj 2 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,S+P+6E+M,NaN,NaN,1,50.968
2511,1,31,NaN,35,decomand,1,Etaj 2 / 5,NaN,1,2020 (finalizata),caramida,bloc de apartamente,D+P+5E,NaN,NaN,1,26.900
2512,1,"43,75 ",47.37,"58,35 ",semidecomand,lux,Etaj 1 / 11,1,1,2020 (in constructie),beton,bloc de apartamente,S+P+11E,NaN,NaN,1,72.500
2513,3,75,NaN,95,decomand,1,Etaj 1 / 10,1,1,1992,beton,bloc de apartamente,P+10E,NaN,NaN,NaN,210.000
2514,2,48,NaN,48,semidecomand,1,Etaj 3 / 3,NaN,1,1957,NaN,bloc de apartamente,P+3E,NaN,NaN,NaN,74.500
2515,3,"101,67 ",NaN,122,decomand,lux,Etaj 1 / 5,1,2,2020,beton,bloc de apartamente,P+5E,1,1,2,405.000
2516,2,"76,8 ",77,NaN,decomand,lux,Etaj 1 / 5,1,1,2021 (in constructie),beton,bloc de apartamente,P+5E,NaN,NaN,1,61.900
2517,4,140,NaN,178,decomand,lux,Ultimele 2 etaje / 8,1,3,2011,beton,bloc de apartamente,P+8E,NaN,NaN,1,330.000
2518,2,53,57,70,decomand,1,Etaj 7 / 10,1,2,2019,beton,bloc de apartamente,S+P+10E,NaN,NaN,1,135.000
2519,3,78,NaN,78,decomand,1,Etaj 1 / 8,1,2,1982,altele,bloc de apartamente,P+8E,NaN,NaN,1,125.000
2520,3,113,NaN,"135,6 ",decomand,lux,Parter / 2,1,2,2008,NaN,bloc de apartamente,P+2E+M,NaN,2,NaN,225.000
2521,2,"56,6 ",62,"71,14 ",decomand,lux,Etaj 2 / 10,1,2,2020 (in constructie),beton,bloc de apartamente,S+P+10E,NaN,NaN,1,127.000
2522,3,120,157,160,decomand,1,Etaj 4 / 4,2,2,2018,beton,bloc de apartamente,P+4E,NaN,NaN,4,280.000
2523,2,37,NaN,39,semidecomand,1,Etaj 2 / 3,1,1,1961,beton,bloc de apartamente,P+3E,NaN,NaN,1,73.000
2524,3,78,NaN,85,decomand,NaN,Etaj 1 / 4,1,2,1990,NaN,bloc de apartamente,P+4E,NaN,NaN,NaN,95.000
2525,2,49,NaN,56,semidecomand,1,Etaj 6 / 10,1,1,1978,altele,bloc de apartamente,P+10E,NaN,NaN,1,73.500
2526,3,96,117,134,decomand,1,Etaj 1 / 2,1,2,2007,beton,bloc de apartamente,P+2E+M,NaN,1,2,157.500
2527,2,40,40,46,semidecomand,2,Etaj 3 / 6,1,1,1968,beton,bloc de apartamente,P+6E,NaN,NaN,1 (închise),43.500
2528,3,74,99,121,decomand,lux,Etaj 3 / 4,1,2,2020 (finalizata),beton,bloc de apartamente,P+4E,NaN,NaN,2,143.000
2529,2,62,62,76,decomand,1,Etaj 9 / 12,1,1,2020 (in constructie),beton,bloc de apartamente,S+P+12E,NaN,NaN,1,179.000
2530,3,68,68,73,decomand,1,Etaj 8 / 10,1,1,1979,beton,bloc de apartamente,P+10E,NaN,NaN,1 (închise),85.900
2531,4,"177,5 ",NaN,300,decomand,lux,Etaj 3 / 3,1,3,2022,beton,bloc de apartamente,P+3E,NaN,NaN,1,364.260
2532,3,"95,24 ",NaN,"109,02 ",decomand,lux,Parter / 3,1,1,2020 (finalizata),caramida,bloc de apartamente,P+3E,NaN,NaN,NaN,89.990
2533,2,62,NaN,72,decomand,1,Etaj 4 / 4,1,1,1988,NaN,bloc de apartamente,S+P+4E,NaN,NaN,1 (închise),84.000
2534,2,54,NaN,54,decomand,1,Etaj 7 / 8,1,1,1982,altele,bloc de apartamente,P+8E,NaN,NaN,1,79.000
2535,3,99,NaN,150,semidecomand,1,Parter / 3,1,2,1941,caramida,casa/vila,P+3E+M,NaN,NaN,2,204.999
2536,2,34,NaN,39,semidecomand,1,Etaj 7 / 7,NaN,1,2018,caramida,bloc de apartamente,D+P+7E,NaN,NaN,NaN,34.000
2537,5,137,NaN,198,semidecomand,lux,Etaj 4 / 5,1,2,1997,NaN,bloc de apartamente,P+5E,NaN,NaN,3,297.000
2538,2,44,44,55,semidecomand,1,Etaj 4 / 9,1,1,2012,beton,bloc de apartamente,P+9E,NaN,NaN,NaN,85.500
2539,2,48,NaN,51,decomand,1,Etaj 4 / 10,1,1,1972,altele,bloc de apartamente,P+10E,NaN,NaN,1,60.000
2540,3,67,67,78,circul,1,Etaj 9 / 10,1,1,1976,beton,bloc de apartamente,P+10E,NaN,1,1 (închise),74.000
2541,4,84,NaN,92,semidecomand,1,Etaj 5 / 10,NaN,2,1981,beton,bloc de apartamente,P+10E,NaN,1,2,118.000
2542,2,50,NaN,50,decomand,1,Etaj 3 / 8,1,1,1983,altele,bloc de apartamente,P+8E,NaN,NaN,NaN,79.900
2543,2,53,62,80,semidecomand,lux,Etaj 3 / 4,1,1,2017,beton,bloc de apartamente,P+4E,NaN,NaN,1,49.000
2544,2,"73,08 ",73.08,83,decomand,lux,Etaj 3 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,S+P+6E+M,NaN,NaN,1,63.660
2545,3,120,120,150,decomand,1,Parter / 1,1,2,1937,caramida,bloc de apartamente,D+P+1E,NaN,NaN,NaN,199.950
2546,1,32,NaN,32,decomand,1,Etaj 10 / 10,1,1,1982,altele,bloc de apartamente,P+10E,NaN,1,NaN,48.500
2547,3,90,NaN,NaN,decomand,lux,Parter / 5,NaN,1,2018,NaN,bloc de apartamente,P+5E,NaN,NaN,NaN,255.000
2548,3,64,67,67,decomand,1,Etaj 8 / 8,1,2,1991,beton,bloc de apartamente,D+P+8E+M,NaN,1,1,113.700
2549,2,107,NaN,127,decomand,1,Parter / 3,1,1,2020 (in constructie),beton,bloc de apartamente,S+P+3E,NaN,NaN,1,116.000
2550,2,"58,5 ",NaN,65,decomand,1,Etaj 3 / 6,1,1,2008,beton,bloc de apartamente,P+6E,NaN,NaN,NaN,112.000
2551,2,"60,66 ",NaN,NaN,decomand,1,Etaj 3 / 4,NaN,NaN,Între 1977 şi 1990,NaN,bloc de apartamente,P+4E,NaN,NaN,NaN,119.000
2552,3,72,72,80,decomand,1,Etaj 6 / 10,1,2,1982,beton,bloc de apartamente,P+10E,NaN,NaN,2 (închise),75.000
2553,2,"73,17 ",NaN,74,decomand,lux,Etaj 3 / 5,1,1,2020 (in constructie),NaN,bloc de apartamente,P+5E,NaN,1,NaN,78.000
2554,4,"112,18 ",123.82,140,semidecomand,1,Etaj 1 / 5,1,3,2009,NaN,bloc de apartamente,S+P+5E,NaN,2 - Incluse în preț,2,235.000
2555,5,136,NaN,150,semidecomand,1,Etaj 3 / 4,NaN,2,1934,NaN,bloc de apartamente,D+P+4E+M,NaN,NaN,2,156.000
2556,2,52,NaN,52,semidecomand,1,Etaj 5 / 7,1,1,1964,altele,bloc de apartamente,P+7E,NaN,NaN,1,64.900
2557,2,"49,09 ",49.09,5.341,decomand,1,Etaj 4 / 9,1,1,2021 (in constructie),beton,bloc de apartamente,S+P+9E,NaN,NaN,1,65.000
2558,3,110,120,146,decomand,lux,Etaj 1 / 3,1,2,2020 (in constructie),beton,bloc de apartamente,P+3E,NaN,1,1 (închise),290.000
2559,2,"48,4 ",NaN,"48,4 ",decomand,1,Etaj 5 / 10,1,1,1972,beton,bloc de apartamente,P+10E,NaN,NaN,1,67.000
