,Nr camere,Suprafata utila,Suprafata utila totala,Suprafata construita,Compartimentare,Confort,Etaj,Nr. bucatarii,Nr. bai,An constructie,Structura rezistenta,Tip imobil,Regim inaltime,Nr. garaje,Nr. locuri parcare,Nr. balcoane,Latitudine,Longitudine,Zona,Pret
3307,3,75,NaN,NaN,decomand,1,Etaj 4 / 4,NaN,2,Între 1977 şi 1990,NaN,bloc de apartamente,P+4E,NaN,NaN,NaN,44.4471264,26.1331888,Iancului,83.000 
3308,2,"45,8 ",45.8,"45,8 ",decomand,1,Parter / 3,1,1,2021 (in constructie),beton,bloc de apartamente,P+3E,NaN,NaN,NaN,44.4059739,26.1656873,Nicolae Grigorescu,55.000 
3309,2,50,NaN,60,semidecomand,1,Etaj 9 / 9,1,1,1966,caramida,bloc de apartamente,P+9E,NaN,NaN,1,44.4342372,26.028841,Lujerului,54.000 
3310,2,"39,3 ",NaN,"40,95 ",decomand,2,Etaj 9 / 10,1,1,1975,NaN,bloc de apartamente,P+10E,NaN,NaN,1,44.4134026,26.02503,Drumul Taberei,54.000 
3311,2,57,57,70,decomand,1,Parter / 6,1,1,2020,beton,bloc de apartamente,D+P+6E,NaN,NaN,1,44.4203161,25.9988301,Timişoara,59.000 
3312,2,54,61,62,semidecomand,1,Etaj 2 / 20,1,1,2022 (in constructie),beton,bloc de apartamente,S+P+20E,NaN,NaN,1,44.4696956,26.1101822,Floreasca,155.000 
3313,3,"89,6 ",93.03,108,decomand,1,Etaj 2 / 11,1,2,2020,NaN,bloc de apartamente,S+P+11E,NaN,NaN,2,44.4856968,26.0620105,Băneasa,118.900 
3314,1,"36,75 ",NaN,"46,67 ",decomand,1,Etaj 2 / 7,NaN,1,2020,beton,bloc de apartamente,S+P+7E,NaN,NaN,NaN,44.4915533,26.1292428,Lacul Tei,49.500 
3315,2,58,NaN,71,semidecomand,1,Etaj 2 / 3,1,1,2020,caramida,bloc de apartamente,P+3E,NaN,NaN,1,44.4593728,26.112497,Lacul Tei,109.700 
3316,3,"56,28 ",61.37,"72,8 ",semidecomand,1,Etaj 11 / 11,1,1,2020,beton,bloc de apartamente,P+11E,NaN,NaN,1,44.4047573,26.2064654,Theodor Pallady,67.000 
3317,2,44,49,58,decomand,1,Etaj 11 / 11,1,1,2020,beton,bloc de apartamente,P+11E,NaN,NaN,1,44.4051678,26.2071101,Theodor Pallady,54.000 
3318,2,45,53,62,semidecomand,1,Etaj 8 / 11,1,1,2020,beton,bloc de apartamente,P+11E,NaN,NaN,1,44.4051493,26.2070979,Theodor Pallady,59.000 
3319,2,"61,75 ",61.75,72,decomand,1,Etaj 7 / 11,1,1,2020,beton,bloc de apartamente,S+P+11E,NaN,NaN,1,44.4859417,26.0619676,Băneasa,89.900 
3320,2,"42,4 ",42.4,52,decomand,1,Etaj 1 / 3,1,1,2019,NaN,bloc de apartamente,P+3E,NaN,NaN,1,44.3727598,26.1546957,Berceni,46.000 
3321,1,"36,77 ",NaN,"50,67 ",semidecomand,1,Etaj 1 / 7,NaN,1,2020,beton,bloc de apartamente,S+P+7E,NaN,NaN,1,44.4923589,26.1264027,Central,58.500 
3322,3,"88,62 ",98.51,111,decomand,1,Etaj 4 / 8,1,2,2020,beton,bloc de apartamente,S+P+8E,1,NaN,1,44.4736455,26.055614,1 Mai,199.000 
